,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.747817,579.482093301427,1.25451802247123,0.252759279899643,4.9632916463812,6.93083867288884e-07,6.09272800793604e-05
WHL22.275378,40.6467142648611,2.85833370790311,0.576885410478411,4.95476858312761,7.24164242105568e-07,6.32936195054108e-05
WHL22.95021,129.079421125529,1.56960377689319,0.317012123647178,4.95124211287294,7.37412921154972e-07,6.40832897424275e-05
WHL22.149379,220.564677486667,1.63677950683797,0.331396935319572,4.93903030593688,7.85120112020807e-07,6.78415151341616e-05
WHL22.739049,110.281507797211,-1.64982697961792,0.334570647162489,-4.93117669948092,8.17357560813304e-07,7.02281004793713e-05
WHL22.538533,429.680218498182,-1.37086247730507,0.278222484987421,-4.92721671063734,8.34092280038502e-07,7.1117937528344e-05
WHL22.7559,13969.9468248752,1.48417348163146,0.30126198976686,4.92652087566714,8.37066729193423e-07,7.1117937528344e-05
WHL22.191686,954.590511738217,-1.21035931356909,0.246001840231637,-4.92012300570357,8.64898396687451e-07,7.30743045379042e-05
WHL22.20888,9593.97505042488,1.17768480392908,0.239937859472007,4.9082908654792,9.18735286278031e-07,7.71940675895928e-05
WHL22.435236,636.114792936184,-1.26463703622376,0.257908869310684,-4.90342592561382,9.41794675073232e-07,7.86967770248006e-05
WHL22.756114,16375.2697205683,1.3971257923289,0.286539964567153,4.87584967227658,1.08341094175413e-06,9.00355934546271e-05
WHL22.742177,62.1060394798399,1.98015303864686,0.406455576587598,4.87175758608419,1.10609832769563e-06,9.14214313456255e-05
WHL22.119801,57.1010128068431,-2.10262177447179,0.431815612878254,-4.86925834028286,1.12017881860806e-06,9.15896745881258e-05
WHL22.415265,285.503801498641,-1.32825641325428,0.27277145293339,-4.86948468752935,1.11889653210663e-06,9.15896745881258e-05
WHL22.346654,302.330227196945,-1.30466331648705,0.268992824630401,-4.85017887848746,1.2335018243362e-06,0.00010031602002409
WHL22.387632,5174.70713292612,-1.54512841739481,0.319072139815737,-4.84256763466442,1.28171986398914e-06,0.0001036829558061
WHL22.728221,3491.11741182465,-1.31790596670775,0.27227135627092,-4.84041356666392,1.29569201413679e-06,0.000104258646301547
WHL22.608229,15289.6017868141,1.5011123668987,0.310373722598061,4.836467321825,1.32166988963888e-06,0.000105789240429621
WHL22.123675,1543.08713167789,-1.40872131693304,0.292095179807067,-4.82281603504556,1.4154550809303e-06,0.00011270283178423
WHL22.704043,306.084739282428,1.31197994972376,0.272224759567154,4.81947326102832,1.43937741994761e-06,0.000114010686471683
WHL22.52254,472.567322350034,1.24957145158115,0.259702572008485,4.81154823349355,1.49765580013652e-06,0.000118012173100913
WHL22.450633,1006.36864494698,1.5514153945359,0.323236547695797,4.79962864841621,1.58960099692587e-06,0.000123972574160249
WHL22.6050,334.540940131065,-1.36785279506036,0.284946179703153,-4.80039001219578,1.58356928455832e-06,0.000123972574160249
WHL22.567445,2874.25704612264,1.49016608750517,0.311686829981278,4.7809722585798,1.74449436849814e-06,0.000135358522225101
WHL22.119629,2832.84136280858,-1.17833166027905,0.24699256919921,-4.77071704666821,1.83571259712914e-06,0.000141713285163147
WHL22.291917,70.6477018640026,-1.96902568529456,0.415106246653838,-4.7434258124681,2.10133920919716e-06,0.000160588777354123
WHL22.75327,1550.44956000352,-1.63844983834837,0.345346498762385,-4.74436499058213,2.09161422686854e-06,0.000160588777354123
WHL22.340702,1665.69952654806,1.08214435841144,0.228287025138222,4.74027973230729,2.13423357835885e-06,0.000162287121298407
WHL22.711659,68.7695925206365,-2.00666107875615,0.423516398137428,-4.73809535494066,2.15736298944475e-06,0.000163229733052118
WHL22.590973,799.06602431041,1.13591921530685,0.239837070363039,4.73621201921548,2.17749788431449e-06,0.000163888840666582
WHL22.610666,1262.09852569939,-1.47845338918768,0.312221502734211,-4.73527087737536,2.1876272130008e-06,0.000163888840666582
WHL22.428229,274.524621058676,1.34987852206053,0.285422788828922,4.72939994595044,2.25184395812601e-06,0.000167872759388139
WHL22.454791,134.42721467822,1.66130391373509,0.351639684894163,4.7244494438536,2.3073960664962e-06,0.000171175021362313
WHL22.99801,69.6514146118957,-1.84341322525927,0.391101214023816,-4.71339172357318,2.43627206266154e-06,0.000179858376354159
WHL22.39482,540.403654948124,1.26843816252109,0.270110564989731,4.69599611021994,2.65310589319311e-06,0.00019491997306126
