PMI_027817	Pm-PapL2
PMI_026359	Pm-My6
PMI_029575	Pm-Surreal/Gpcr111
PMI_023683	Pm-Hypp_144
PMI_023684	
PMI_021763	Pm-Clect/Egf_10
PMI_028972	Pm-Traf7
PMI_024202	PMI_024202
PMI_028325	Pm-Irs1
PMI_025567	Pm-Ttrspn_11
PMI_026190	Pm-Atp5a1
PMI_015710	Pm-PlexA4_2
PMI_015711	Pm-PlexA4_2
PMI_022813	Pm-Lrp4_6
PMI_022814	Pm-Lrp4_6
PMI_026420	Pm-Tk9
PMI_028922	Pm-MyIph
PMI_025295	Pm-Hypp_179
PMI_025202	Pm-Ogt
PMI_028101	Pm-Go
PMI_027773	Pm-Hypp_2810
PMI_028698	PMI_028698
PMI_018842	Pm-Psmd2
PMI_027859	Pm-Rar
PMI_024544	Pm-Usp8
PMI_027188	
PMI_024191	Pm-Mtmr6/7/8
PMI_016991	Pm-Atp13a3_2
PMI_014364	Pm-Gpr133
PMI_024219	Pm-Vrk
PMI_026022	
PMI_026023	
PMI_028286	Pm-Cyp2L26
PMI_028665	Pm-Git1_1
PMI_019917	Pm-Cts13
PMI_019918	Pm-Cts13
PMI_026876	Pm-Fbl
PMI_027720	Pm-Srcr219
PMI_021756	Pm-RtL_65
PMI_021757	
PMI_027790	
PMI_019434	Pm-Clect/kring
PMI_016407	Pm-Bpnt1
PMI_016408	Pm-Tex10L
PMI_016409	
PMI_029569	Pm-Nefl
PMI_029309	Pm-Fank1
PMI_026914	Pm-Ccdc11
PMI_019808	Pm-Acsbg1
PMI_019809	Pm-Acsbg1
PMI_005819	PMI_005819
PMI_005820	PMI_005820
PMI_005821	Pm-Dnah5L
PMI_005822	Pm-Dnah5L
PMI_028845	
PMI_024789	Pm-Ttc18
PMI_020033	Pm-Ube1dc1
PMI_021140	Pm-Srcr219
PMI_021141	Pm-Srcr191
PMI_014517	Pm-MucA
PMI_014518	Pm-Unk_44
PMI_029263	
PMI_017653	Pm-PlexA2_1
PMI_017654	Pm-RtL_59
PMI_027775	
PMI_028187	Pm-Astacin5
PMI_028472	Pm-Ia/Ic28
PMI_025435	Pm-Acox3_1
PMI_018505	Pm-Ecm/Tspn/Vwc/Vwd
PMI_008534	Pm-Actinfilin
PMI_008535	
PMI_008536-2tr	PMI_008536-2tr
PMI_008536	Pm-Cdc2l5
PMI_008537	Pm-Wdr24
PMI_021780	Pm-FoxP
PMI_015171	Pm-Rnase3l
PMI_015172	Pm-Rnase3l
PMI_023488	Pm-Axndhc8h
PMI_024754	Pm-Cct7
PMI_028268	Pm-Thredh
PMI_016859	Pm-Aco1
PMI_025224	Pm-Hypp_2614
PMI_028319	Pm-Erf
PMI_027883	Pm-Ephrin
